objective value:                     16691228.7610438
x1                                                  1 	(obj:187.876647)
x25                                                 1 	(obj:2685.489542)
x26                                                 1 	(obj:0)
x28                                                 1 	(obj:2685.489542)
x31                                                 1 	(obj:2685.489542)
x34                                                 1 	(obj:2685.489542)
x37                                                 1 	(obj:2685.489542)
x40                                                 1 	(obj:2685.489542)
x43                                                 1 	(obj:2685.489542)
x46                                                 1 	(obj:2685.489542)
x49                                                 1 	(obj:2685.489542)
x52                                                 1 	(obj:2685.489542)
x55                                                 1 	(obj:2685.489542)
x58                                                 1 	(obj:2685.489542)
x61                                                 1 	(obj:2685.489542)
x64                                                 1 	(obj:2685.489542)
x67                                                 1 	(obj:2685.489542)
x70                                                 1 	(obj:2685.489542)
x73                                                 1 	(obj:2685.489542)
x76                                                 1 	(obj:2685.489542)
x79                                                 1 	(obj:2685.489542)
x82                                                 1 	(obj:2685.489542)
x85                                                 1 	(obj:2685.489542)
x88                                                 1 	(obj:2685.489542)
x91                                                 1 	(obj:2685.489542)
x94                                                 1 	(obj:2685.489542)
x121                                                1 	(obj:3840.340177)
x124                                                1 	(obj:3840.340177)
x127                                                1 	(obj:3840.340177)
x130                                                1 	(obj:3840.340177)
x133                                                1 	(obj:3840.340177)
x136                                                1 	(obj:3840.340177)
x139                                                1 	(obj:3840.340177)
x142                                                1 	(obj:3840.340177)
x145                                                1 	(obj:3840.340177)
x148                                                1 	(obj:3840.340177)
x151                                                1 	(obj:3840.340177)
x154                                                1 	(obj:3840.340177)
x157                                                1 	(obj:3840.340177)
x160                                                1 	(obj:3840.340177)
x163                                                1 	(obj:3840.340177)
x166                                                1 	(obj:3840.340177)
x169                                                1 	(obj:3840.340177)
x172                                                1 	(obj:3840.340177)
x175                                                1 	(obj:3840.340177)
x178                                                1 	(obj:3840.340177)
x181                                                1 	(obj:3840.340177)
x184                                                1 	(obj:3840.340177)
x187                                                1 	(obj:3840.340177)
x190                                                1 	(obj:3840.340177)
x199                                                1 	(obj:140.463269)
x235                                                1 	(obj:3247.658435)
x236                                                1 	(obj:0)
x238                                                1 	(obj:3247.658435)
x241                                                1 	(obj:3247.658435)
x244                                                1 	(obj:3247.658435)
x247                                                1 	(obj:3247.658435)
x250                                                1 	(obj:3247.658435)
x253                                                1 	(obj:3247.658435)
x256                                                1 	(obj:3247.658435)
x259                                                1 	(obj:3247.658435)
x262                                                1 	(obj:3247.658435)
x265                                                1 	(obj:3247.658435)
x268                                                1 	(obj:3247.658435)
x271                                                1 	(obj:3247.658435)
x274                                                1 	(obj:3247.658435)
